kernel,stream,solo_auc,maxcorr,nearest,has_test,g2_label,verdict
tamerlanomralinov_s6e8-lookup-transformer-insights-lb-0-97041,lightgbm,0.968077,0.995064,lexb_lgb02,True,n/a,DUP
danushkumarv_smartphone-addiction-gbm-rank-blend-nb01,lgb,0.963954,0.995438,bei_identity_digit_raw12,True,n/a,DUP
lavanyabacche_predicting-smartphone-addiction-catboost-fe,v12_blend,0.963993,0.995608,pub_ryota,True,n/a,DUP
tamerlanomralinov_s6e8-lookup-transformer-insights-lb-0-97041,catboost,0.968006,0.995931,bolt_cat_dual_view,True,n/a,DUP
evgendvorkin_s6e8-single-lgb,s,0.966528,0.99599,pub_evg,True,n/a,DUP
danushkumarv_smartphone-addiction-gbm-rank-blend-nb01,xgb,0.964466,0.996567,bei_xgb_identity_digit_raw12,True,n/a,DUP
dnyaneshbharambe_addiction-lgb-xgb-cat-ensemble,cb,0.96614,0.99663,pub_cat,True,n/a,DUP
danushkumarv_smartphone-addiction-gbm-rank-blend-nb01,cb,0.962709,0.996639,cat_raw,True,n/a,DUP
zhenruiweng_s6e8-public-lb-0-97009-single-model-realmlp,pred,0.969128,0.997597,bei_realmlp_seed01_fixed4,True,OK,DUP
dnyaneshbharambe_addiction-lgb-xgb-cat-ensemble,lgb,0.963673,0.997977,pub_donlgbm,True,n/a,DUP
zhukovoleksiy_ps6e8-eda-feature-engineering-pipeline,lexb_cat_base,0.967987,1.0,lexb_cat_base,True,n/a,DUP
zhukovoleksiy_ps6e8-eda-feature-engineering-pipeline,lexb_lgb02,0.96837,1.0,lexb_lgb02,True,n/a,DUP
zhukovoleksiy_ps6e8-eda-feature-engineering-pipeline,lexb_xgb_base,0.967914,1.0,lexb_xgb_base,True,n/a,DUP
yunsuxiaozi_agent-in-pss6e8-cv-0-9623,ictions_true_label,1.0,0.820151,rmlp_lat3,False,LABEL MISMATCH,LABEL MISMATCH
