ref,file,kind,rows,shape,cols,mb
georgymamarin/s6e8-why-gaming-hours-helps-but-adds-nothing-new,georgymamarin_s6e8-why-gaming-hours-helps-but-adds-nothing-new/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.751886
georgymamarin/s6e8-why-gaming-hours-helps-but-adds-nothing-new,georgymamarin_s6e8-why-gaming-hours-helps-but-adds-nothing-new/oof.npy,npy,691369,"(691369,)",,5.53108
donmarch14/s6e8-lgbm,donmarch14_s6e8-lgbm/lgbm_test_preds.csv,csv,296302,"(296302, 2)",id|test_pred,5.215205
donmarch14/s6e8-lgbm,donmarch14_s6e8-lgbm/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,5.21521
donmarch14/s6e8-lgbm,donmarch14_s6e8-lgbm/lgb_test.npy,npy,296302,"(296302,)",,1.185336
donmarch14/s6e8-lgbm,donmarch14_s6e8-lgbm/lgb_oof.npy,npy,691369,"(691369,)",,2.765604
donmarch14/s6e8-lgbm,donmarch14_s6e8-lgbm/lgbm_oof.csv,csv,691369,"(691369, 3)",id|addicted_label|oof_pred,13.439172
donmarch14/s6e8-catboost,donmarch14_s6e8-catboost/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,5.22063
donmarch14/s6e8-catboost,donmarch14_s6e8-catboost/oof_preds.csv,csv,691369,"(691369, 3)",id|addicted_label|oof_pred,13.45348
donmarch14/s6e8-catboost,donmarch14_s6e8-catboost/test_preds.csv,csv,296302,"(296302, 2)",id|test_pred,5.220625
ravi20076/playgrounds6e8-public-l2stack-v1,ravi20076_playgrounds6e8-public-l2stack-v1/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,4.99872
ravi20076/playgrounds6e8-public-l2stack-v1,ravi20076_playgrounds6e8-public-l2stack-v1/Mdl_Preds_L2StackV1_1.parquet,parquet,296302,"(296302, 1)",L2Stack1R,1.44659
ravi20076/playgrounds6e8-public-l2stack-v1,ravi20076_playgrounds6e8-public-l2stack-v1/OOF_Preds_L2StackV1_1.parquet,parquet,691369,"(691369, 1)",L2Stack1R,3.272148
ern711/contextualized-deep-univariate-spline-transformer,ern711_contextualized-deep-univariate-spline-transformer/nonlinear_context_5fold_test_predictions.csv,csv,296302,"(296302, 8)",id|fold_0|fold_1|fold_2|fold_3|fold_4|mean_prediction|prediction_std,24.627192
ern711/contextualized-deep-univariate-spline-transformer,ern711_contextualized-deep-univariate-spline-transformer/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,5.216651
ern711/contextualized-deep-univariate-spline-transformer,ern711_contextualized-deep-univariate-spline-transformer/submission_additive.csv,csv,296302,"(296302, 2)",id|addicted_label,5.220927
ern711/contextualized-deep-univariate-spline-transformer,ern711_contextualized-deep-univariate-spline-transformer/nonlinear_context_5fold_oof.csv,csv,691369,"(691369, 4)",id|addicted_label|oof_prediction|oof_additive,34.075878
omidbaghchehsaraei/tabm-for-predicting-smartphone-addiction,omidbaghchehsaraei_tabm-for-predicting-smartphone-addiction/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.774256
omidbaghchehsaraei/tabm-for-predicting-smartphone-addiction,omidbaghchehsaraei_tabm-for-predicting-smartphone-addiction/oof.csv,csv,691369,"(691369, 3)",id|oof_pred|addicted_label,18.560414
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/submission.csv,csv,296302,"(296302, 2)",id|addicted_label,7.783457
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[y],npz,691369,"(691369,)",,29.236794
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[oof_lgb],npz,691369,"(691369,)",,29.236794
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[oof_xgb],npz,691369,"(691369,)",,29.236794
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[oof_cat],npz,691369,"(691369,)",,29.236794
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[test_lgb],npz,296302,"(296302,)",,29.236794
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,factualexplorer_baseline-lgbm-xgb-cb-rank-averaged-oof-tuned/preds.npz[test_xgb],npz,296302,"(296302,)",,29.236794
