ref,n_files,verdict,files
najiama/s6e8-addiction-lb-0-97113,2,nothing,"s6e8-addiction-lb-0-97113.log submission.csv "
mpwolke/nomobilephone-nomophobia-optuna-xgb,1,nothing,"nomobilephone-nomophobia-optuna-xgb.log "
koushikkumardinda/robust-ensembling-target-encoding-pipeline,2,nothing,"robust-ensembling-target-encoding-pipeline.log submission.csv "
tamerlanomralinov/s6e8-lookup-transformer-insights-lb-0-97041,12,CANDIDATE,"catboost_info oof_catboost.npy oof_lightgbm.npy oof_lookup_transformer.npy s6e8-lookup-transformer-insights-lb-0-97041.log submission_catboost.csv submission.csv submission_lightgbm.csv submission_lookup_transformer.csv test_catboost.npy test_lightgbm.npy test_lookup_transformer.npy "
kava1/predicting-smartphone-addiction-lightgbm-fe,4,CANDIDATE,"oof_preds_resnet_MYSELF_95687.npy predicting-smartphone-addiction-lightgbm-fe.log submission.csv test_preds_resnet_MYSELF_95687.npy "
omidbaghchehsaraei/hill-climbing-ensemble-for-smartphone-addiction,3,CANDIDATE,"hill-climbing-ensemble-for-smartphone-addiction.log oof.csv submission.csv "
amanatar/s6e8-elite-rank-average-ensemble-0-97092,2,nothing,"s6e8-elite-rank-average-ensemble-0-97092.log submission.csv "
riponce/1-public-lb-0-97068-honest-55-model-stack,7,nothing,"1-public-lb-0-97068-honest-55-model-stack.log fold_report.csv meta_model_scores.csv slice_report.csv submission.csv submission_global.csv submission_regime.csv "
nikita7364777/s6e8-rank-blend-65-35,2,nothing,"s6e8-rank-blend-65-35.log submission.csv "
thisray/s6e8-addiction-blend-lb-0-97117,2,nothing,"s6e8-addiction-blend-lb-0-97117.log submission.csv "
sarveshchhetri/complete-eda-predicting-smartphone-addition,1,nothing,"complete-eda-predicting-smartphone-addition.log "
rugvedbane/s6e8-13-fe-features-xgboost-optuna-0-96602,2,nothing,"s6e8-13-fe-features-xgboost-optuna-0-96602.log submission.csv "
zhenruiweng/realmlp-for-predicting-smartphone-addiction,3,CANDIDATE,"oof_preds.csv realmlp-for-predicting-smartphone-addiction.log submission.csv "
redamountassir/s6e8-histgradientboosting-lb-0-96945,4,CANDIDATE,"s6e8-histgradientboosting-lb-0-96945.log submission.csv tehgbc_oof_preds.csv tehgbc_test_preds.csv "
omidbaghchehsaraei/realmlp-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv realmlp-for-predicting-smartphone-addiction.log submission.csv "
hamidrana/smartphone-addiction-prediction-ann,1,nothing,"smartphone-addiction-prediction-ann.log "
zhenruiweng/s6e8-public-lb-0-97009-single-model-realmlp,4,CANDIDATE,"oof.csv s6e8-public-lb-0-97009-single-model-realmlp.log submission.csv test_pred.csv "
kunaldesale2408/s6e8-smartphone-addiction,2,nothing,"s6e8-smartphone-addiction.log submission.csv "
evgendvorkin/s6e8-single-lgb,4,CANDIDATE,"oof_preds.npy s6e8-single-lgb.log submission.csv test_preds.npy "
avikdas567/feature-engineered-gbdt-smartphone-addiction-auc,3,nothing,"catboost_info feature-engineered-gbdt-smartphone-addiction-auc.log submission.csv "
redamountassir/s6e8-lgbm-lb-0-96965,4,CANDIDATE,"lgbm_oof_preds.csv lgbm_test_preds.csv s6e8-lgbm-lb-0-96965.log submission.csv "
kitopl/eda-lightgbm,2,nothing,"eda-lightgbm.log submission.csv "
danushkumarv/smartphone-addiction-gbm-rank-blend-nb01,8,CANDIDATE,"oof_cb.npy oof_lgb.npy oof_xgb.npy pred_cb.npy pred_lgb.npy pred_xgb.npy smartphone-addiction-gbm-rank-blend-nb01.log submission.csv "
daniilkrasnovvv/s6e8-top-5-memes,4,CANDIDATE,"final_solution.csv logreg_9696049_submission.csv logreg_9696061_submission.csv s6e8-top-5-memes.log "
mikhailnaumov/smartphone-addiction-xgb,7,CANDIDATE,"12.png 1.png 3.png 4.png 8.png smartphone-addiction-xgb.log submission.csv "
bhaskarmishra44796/ps-s6e8-eda-xgb-lgbm-ensemble,2,nothing,"ps-s6e8-eda-xgb-lgbm-ensemble.log submission.csv "
souvikdbiswas/mobile-addiction-0-965-lgbm-xgb-ensemble,3,nothing,"mobile-addiction-0-965-lgbm-xgb-ensemble.log submission.csv submission_v3_optuna.csv "
pavloivanin/predicting-smartphone-addiction-eda,1,nothing,"predicting-smartphone-addiction-eda.log "
omidbaghchehsaraei/xgboost-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv submission.csv xgboost-for-predicting-smartphone-addiction.log "
mubashirulhassan00/predicting-smartphone-addiction-s6e8-auc-0-96,3,nothing,"catboost_info predicting-smartphone-addiction-s6e8-auc-0-96.log submission.csv "
lucifer19/smartaddict-oof-signal-forge,3,CANDIDATE,"oof_predictions.csv smartaddict-oof-signal-forge.log submission.csv "
anhadmahajan06/s6e8-u-smart-phone-addict,7,CANDIDATE,"1_linear_anchor.csv 2_power_rank_decay.csv 3_top3_linear_avg.csv 4_geom_mean_top5.csv 5_sharp_power_blend.csv s6e8-u-smart-phone-addict.log submission.csv "
yajatpawar/behind-the-screen-deep-eda-lgbm-baseline,2,nothing,"behind-the-screen-deep-eda-lgbm-baseline.log submission.csv "
tuannm3812/smartphone-addiction-eda,1,nothing,"smartphone-addiction-eda.log "
santosh1974/s6-e8-eda,1,nothing,"s6-e8-eda.log "
riyaraj9/s6e8-smartphone-addiction-prediction-ml-model,2,nothing,"s6e8-smartphone-addiction-prediction-ml-model.log submission.csv "
rauffauzanrambe/s6e8-technology-addiction-lb-0-97092-prime,2,nothing,"s6e8-technology-addiction-lb-0-97092-prime.log submission.csv "
hamidrana/preprocessing-dataset,1,nothing,"preprocessing-dataset.log "
georgymamarin/three-of-seven-s6-boards-erased-the-public-top-ten,1,nothing,"three-of-seven-s6-boards-erased-the-public-top-ten.log "
daniilkrasnovvv/s6e8-current-best-open-solution-memes-2,2,nothing,"s6e8-current-best-open-solution-memes-2.log submission.csv "
shayanzk/smartphone-addiction-a-statistical-deep-dive,1,nothing,"smartphone-addiction-a-statistical-deep-dive.log "
sarveshchhetri/triple-ensemble-lightgbm-xgboost-catboost,3,nothing,"catboost_info submission.csv triple-ensemble-lightgbm-xgboost-catboost.log "
muhammadshoaibaltaf/predicting-smartphone-addiction-playground-s6e8,3,nothing,"catboost_info predicting-smartphone-addiction-playground-s6e8.log submission.csv "
mohankrishnathalla/s6e8-xgb-tuner-oof-saver,9,CANDIDATE,"oof_xgb_v3.npy s6e8-xgb-tuner-oof-saver.log submission_xgb_v3.csv submission_xgb_v3_fold1.csv submission_xgb_v3_fold2.csv submission_xgb_v3_fold3.csv submission_xgb_v3_fold4.csv submission_xgb_v3_fold5.csv test_xgb_v3.npy "
lopure/hdviz-pca-parallel-with-linear-svm,7,CANDIDATE,"hdviz-pca-parallel-with-linear-svm.log oof_linear_svm_gpu.csv oof_poly_svm_gpu.csv oof_rbf_svm_gpu.csv submission_linear_svm_gpu.csv submission_poly_svm_gpu.csv submission_rbf_svm_gpu.csv "
vishal567/smartphone-addiction-signal-or-shortcut,2,nothing,"smartphone-addiction-signal-or-shortcut.log submission.csv "
tracyporter/play-6-8-catboost-proba,3,nothing,"catboost_info play-6-8-catboost-proba.log submission.csv "
szymonkapiski/s6e8-tabm-with-constrained-imputation,2,nothing,"s6e8-tabm-with-constrained-imputation.log submission.csv "
stephentarter/ps-s06e08-lightgbm,3,nothing,"predictions ps-s06e08-lightgbm.log submission.csv "
stephentarter/ps-s06e08-experiment-setup,2,nothing,"ps-s06e08-experiment-setup.log ps_s06e08_experiment_setup.py "
ravi20076/playgrounds6e8-eda-v1,1,nothing,"playgrounds6e8-eda-v1.log "
omidbaghchehsaraei/tabnet-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv submission.csv tabnet-for-predicting-smartphone-addiction.log "
omidbaghchehsaraei/ft-transformer-for-predicting-smartphone-addiction,3,CANDIDATE,"ft-transformer-for-predicting-smartphone-addiction.log oof.csv submission.csv "
