ref,n_files,verdict,files
raykkretzschmar/why-every-s6e8-notebook-above-0-97110-overfits,2,nothing,"submission.csv why-every-s6e8-notebook-above-0-97110-overfits.log "
adarsh1077/s6e8-diversity-beats-strength,2,nothing,"s6e8-diversity-beats-strength.log submission.csv "
szymonkapiski/s6e8-honest-oof-blend,2,nothing,"s6e8-honest-oof-blend.log submission.csv "
georgymamarin/s6e8-why-gaming-hours-helps-but-adds-nothing-new,3,CANDIDATE,"oof.npy s6e8-why-gaming-hours-helps-but-adds-nothing-new.log submission.csv "
tomasa2/s6e8-what-moved-the-score-and-what-didn-t,0,EMPTY,""
vh10935cse20/mobile-addiction-lgbm,2,nothing,"mobile-addiction-lgbm.log submission.csv "
anthonytherrien/predicting-smartphone-addict-nn-residual-network,2,nothing,"predicting-smartphone-addict-nn-residual-network.log submission.csv "
daniilkrasnovvv/s6e8-top-1-public-0-97099,2,nothing,"s6e8-top-1-public-0-97099.log submission.csv "
donmarch14/s6e8-lgbm,6,CANDIDATE,"lgbm_oof.csv lgbm_test_preds.csv lgb_oof.npy lgb_test.npy s6e8-lgbm.log submission.csv "
donmarch14/s6e8-catboost,4,CANDIDATE,"oof_preds.csv s6e8-catboost.log submission.csv test_preds.csv "
devashish001/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
ravi20076/playgrounds6e8-public-l2stack-v1,5,CANDIDATE,"Mdl_Preds_L2StackV1_1.parquet OOF_Preds_L2StackV1_1.parquet playgrounds6e8-public-l2stack-v1.log submission.csv xgb_optimize.log "
ern711/contextualized-deep-univariate-spline-transformer,6,CANDIDATE,"contextualized-deep-univariate-spline-transformer.log nonlinear_context_5fold_metrics.csv nonlinear_context_5fold_oof.csv nonlinear_context_5fold_test_predictions.csv submission_additive.csv submission.csv "
jek1wantaufik/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
omidbaghchehsaraei/tabm-for-predicting-smartphone-addiction,3,CANDIDATE,"oof.csv submission.csv tabm-for-predicting-smartphone-addiction.log "
nawfeelrahman1124444/realmlp-0-97014,1,nothing,"realmlp-0-97014.log "
vladstud716373618/s6e8-catboost-feature-ablation-600-11-best,1,nothing,"s6e8-catboost-feature-ablation-600-11-best.log "
cv13j0/smartphone-addiction,2,nothing,"smartphone-addiction.log submission.csv "
pavloivanin/baseline,2,nothing,"baseline.log submission.csv "
factualexplorer/baseline-lgbm-xgb-cb-rank-averaged-oof-tuned,3,CANDIDATE,"baseline-lgbm-xgb-cb-rank-averaged-oof-tuned.log preds.npz submission.csv "
ern711/multi-level-deep-univariate-spline-transformer,5,CANDIDATE,"multi-level-deep-univariate-spline-transformer.log multilevel_output_heads_fold_metrics.csv multilevel_output_heads_oof.csv multilevel_output_heads_test_predictions.csv submission.csv "
thuandao/smartphone-addiction,6,nothing,"pip_log_pandas.txt pip_log_pingouin.txt pip_log_scikit_posthocs.txt pip_log_statsmodels.txt smartphone-addiction.log submission.csv "
jimgruman/addiction,1,nothing,"addiction.log "
sarveshchhetri/the-lookup-key-trick-minus-the-neural-net,2,nothing,"submission.csv the-lookup-key-trick-minus-the-neural-net.log "
gentralgresham/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
kitopl/max-bin,1,nothing,"max-bin.log "
ravi20076/playgrounds6e8-datacollation-v1,4,CANDIDATE,"Mdl_Preds_PublicV1_1.parquet OOF_Preds_PublicV1_1.parquet playgrounds6e8-datacollation-v1.log xgb_optimize.log "
nikita7364777/rank-gauss-logit-rank-blending,7,CANDIDATE,"oof_rankgauss_lr.npy rank-gauss-logit-rank-blending.log rankgauss_lr_coefficients.csv rankgauss_model_audit.csv submission.csv submission_rankdata.csv test_rankgauss_lr.npy "
yadoy666/94-verified-oof-gpu-accelerated-meta-stack,5,CANDIDATE,"94-verified-oof-gpu-accelerated-meta-stack.log submission.csv union94_member_names.json union94_oof_matrix.npy union94_test_matrix.npy "
helenylmaz/smartphone-addiction-prediction,1,nothing,"smartphone-addiction-prediction.log "
christopherarzate/predicting-smartphone-addiction,5,CANDIDATE,"iframe_figures predicting-smartphone-addiction.log submission.csv test_submission.csv testsubmission.csv "
sdeogade/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission_rl_lgbm.csv "
engineerfrabbi/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
santoshyadavaiexpert/smartphone-addiction-prediction,2,nothing,"smartphone-addiction-prediction.log submission.csv "
sarveshchhetri/zero-extra-libraries-one-model,2,nothing,"submission.csv zero-extra-libraries-one-model.log "
echloeprice/phone-addict,9,CANDIDATE,"oof_A_prob_simple.csv oof_B_rank_simple.csv oof_C_prob_optuna.csv oof_D_rank_optuna.csv phone-addict.log submission_A_prob_simple.csv submission_B_rank_simple.csv submission_C_prob_optuna.csv submission_D_rank_optuna.csv "
pratishchaudhary/smartphone-addiction,1,nothing,"smartphone-addiction.log "
atifkhan12/smartphone-addiction,1,nothing,"smartphone-addiction.log "
obiaf88/predicting-smartphone-addiction-pytorch,2,nothing,"predicting-smartphone-addiction-pytorch.log submission.csv "
mdnaimislam165436/predicting-smartphone-addiction,3,nothing,"predicting-smartphone-addiction.log submission.csv submission_target_encoded_xgb.csv "
echloeprice/phone-addiction-prediction,2,nothing,"phone-addiction-prediction.log submission_pure_dict_ultimate.csv "
mdshafayeturrahman/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
navazshfathi/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
cdeotte/basic-eda-smartphone-addiction,1,nothing,"basic-eda-smartphone-addiction.log "
adarsh1077/s6e8-my-best-cv-model-scored-worse-on-the-lb,1,nothing,"s6e8-my-best-cv-model-scored-worse-on-the-lb.log "
mohamedabder/01-eda-predicting-smartphone-addiction,1,nothing,"01-eda-predicting-smartphone-addiction.log "
ojaspadhye/smartphoneaddiction-bit,2,nothing,"smartphoneaddiction-bit.log submission.csv "
alpharapto/smartphones-prediction,2,nothing,"smartphones-prediction.log submission.csv "
dariushafshar/how-much-does-one-more-model-buy-you-lb-97109,2,nothing,"how-much-does-one-more-model-buy-you-lb-97109.log submission.csv "
kitopl/max-bin-raise-it-to-your-distinct-value-count,1,nothing,"max-bin-raise-it-to-your-distinct-value-count.log "
francescoliveras/playground-s6e8-smartphone-addiction,2,nothing,"playground-s6e8-smartphone-addiction.log submission.csv "
lavanyabacche/predicting-smartphone-addiction-01,2,nothing,"predicting-smartphone-addiction-01.log submission_next_level.csv "
ananyamaurya/predicting-smartphone-addiction,2,nothing,"predicting-smartphone-addiction.log submission.csv "
lavanyabacche/predicting-mobile-addiction-0011,2,nothing,"predicting-mobile-addiction-0011.log submission.csv "
destroyer123787/predicting-smartphone-addiction,4,CANDIDATE,"oof_predictions.csv predicting-smartphone-addiction.log submission_ensemble.csv test_predictions.csv "
yusufmurtaza01/s6e8-analytics,2,nothing,"eda_outputs s6e8-analytics.log "
stephentarter/ps-s06e08-model-visualizer,2,nothing,"ps-s06e08-model-visualizer.log ps_s06e08_model_visualizer.py "
charlottetu/predicting-smart-phone-addiction,2,nothing,"predicting-smart-phone-addiction.log submission.csv "
