ref,fileName,date,description,status,publicScore,privateScore
55915512,w85_cal_bolt_fttransformer.csv,2026-08-31 12:37:26.990000,"w55 tail-fill w85_cal_bolt_fttransformer — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.941539, bound 0.943177, margin +28013.4e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94275,0.94376
55915507,w85_cal_bolt_tabm_rank1.csv,2026-08-31 12:37:23.347000,"w55 tail-fill w85_cal_bolt_tabm_rank1 — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.940948, bound 0.942586, margin +28604.4e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94156,0.94212
55915506,w85_cal_bolt_neural_5fold.csv,2026-08-31 12:37:19.567000,"w55 tail-fill w85_cal_bolt_neural_5fold — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.940658, bound 0.942296, margin +28894.0e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94153,0.94210
55915502,w85_cal_bolt_gandalf_gflu.csv,2026-08-31 12:37:14.643000,"w55 tail-fill w85_cal_bolt_gandalf_gflu — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.940144, bound 0.941782, margin +29408.0e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94105,0.94135
55915500,w85_cal_bolt_dcnv2_cross.csv,2026-08-31 12:37:11.190000,"w55 tail-fill w85_cal_bolt_dcnv2_cross — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.939928, bound 0.941566, margin +29624.0e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94024,0.94083
55915498,w85_cal_bolt_tabr_retrieval.csv,2026-08-31 12:37:07.250000,"w55 tail-fill w85_cal_bolt_tabr_retrieval — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.939424, bound 0.941062, margin +30128.1e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.94104,0.94139
55915497,w85_cal_poly2_raw.csv,2026-08-31 12:37:02.387000,"w55 tail-fill w85_cal_poly2_raw — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.936487, bound 0.938125, margin +33065.2e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.93621,0.93684
55915495,w85_cal_golem_c.csv,2026-08-31 12:36:58.797000,"w55 tail-fill w85_cal_golem_c — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.935814, bound 0.937452, margin +33738.1e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.93590,0.93670
55915493,w85_cal_rff_raw.csv,2026-08-31 12:36:55.613000,"w55 tail-fill w85_cal_rff_raw — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.935138, bound 0.936776, margin +34413.9e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.93525,0.93586
55915490,w85_cal_qda_lat.csv,2026-08-31 12:36:51.900000,"w55 tail-fill w85_cal_qda_lat — a MEASUREMENT, not a candidate. Family `member`: this is a raw member / superseded object with NO cross-fitted stack CV, so it is deliberately unranked and must never enter a max(CV). Sent only to fill a slot that would otherwise go unused. w55a certifies its public score BELOW the 0.97119 auto-selection tier — instrument `prereg`, point estimate 0.932610, bound 0.934248, margin +36942.1e-6 — so it cannot be auto-selected while nothing is selected, and therefore costs nothing. NOT a deadline pick.",SubmissionStatus.COMPLETE,0.93232,0.93277
